timestamp_sec,latitude,longitude,altitude,pitch,roll,yaw,rtk_status
0.0,28.6129,77.2298587,120.0,-25.0,4.0,0.0,FIXED_RTK
0.033,28.6129037,77.2298587,120.08,-24.93,4.0,0.67,FIXED_RTK
0.067,28.6129073,77.2298586,120.16,-24.86,4.0,1.33,FIXED_RTK
0.1,28.612911,77.2298585,120.24,-24.79,4.0,2.0,FIXED_RTK
0.133,28.6129147,77.2298583,120.32,-24.72,4.0,2.67,FIXED_RTK
0.167,28.6129183,77.2298581,120.4,-24.65,3.99,3.33,FIXED_RTK
0.2,28.612922,77.2298579,120.48,-24.58,3.99,4.0,FIXED_RTK
0.233,28.6129256,77.2298575,120.56,-24.51,3.99,4.67,FIXED_RTK
0.267,28.6129293,77.2298572,120.64,-24.44,3.98,5.33,FIXED_RTK
0.3,28.6129329,77.2298568,120.72,-24.37,3.98,6.0,FIXED_RTK
0.333,28.6129366,77.2298563,120.8,-24.3,3.97,6.67,FIXED_RTK
0.367,28.6129402,77.2298558,120.88,-24.23,3.97,7.33,FIXED_RTK
0.4,28.6129438,77.2298552,120.96,-24.16,3.96,8.0,FIXED_RTK
0.433,28.6129475,77.2298546,121.04,-24.1,3.95,8.67,FIXED_RTK
0.467,28.6129511,77.229854,121.12,-24.03,3.95,9.33,FIXED_RTK
0.5,28.6129547,77.2298533,121.2,-23.96,3.94,10.0,FIXED_RTK
0.533,28.6129583,77.2298525,121.28,-23.89,3.93,10.67,FIXED_RTK
0.567,28.6129619,77.2298517,121.36,-23.82,3.92,11.33,FIXED_RTK
0.6,28.6129655,77.2298509,121.44,-23.75,3.91,12.0,FIXED_RTK
0.633,28.6129691,77.22985,121.52,-23.68,3.9,12.67,FIXED_RTK
0.667,28.6129726,77.2298491,121.6,-23.62,3.89,13.33,FIXED_RTK
0.7,28.6129762,77.2298481,121.68,-23.55,3.88,14.0,FIXED_RTK
0.733,28.6129797,77.229847,121.76,-23.48,3.87,14.67,FIXED_RTK
0.767,28.6129833,77.229846,121.84,-23.41,3.86,15.33,FIXED_RTK
0.8,28.6129868,77.2298448,121.92,-23.35,3.85,16.0,FIXED_RTK
0.833,28.6129903,77.2298437,122.0,-23.28,3.83,16.67,FIXED_RTK
0.867,28.6129938,77.2298424,122.08,-23.21,3.82,17.33,FIXED_RTK
0.9,28.6129973,77.2298412,122.16,-23.15,3.8,18.0,FIXED_RTK
0.933,28.6130008,77.2298399,122.24,-23.08,3.79,18.67,FIXED_RTK
0.967,28.6130043,77.2298385,122.32,-23.01,3.77,19.33,FIXED_RTK
1.0,28.6130077,77.2298371,122.4,-22.95,3.76,20.0,FIXED_RTK
1.033,28.6130111,77.2298356,122.48,-22.88,3.74,20.67,FIXED_RTK
1.067,28.6130146,77.2298342,122.56,-22.82,3.73,21.33,FIXED_RTK
1.1,28.613018,77.2298326,122.64,-22.75,3.71,22.0,FIXED_RTK
1.133,28.6130214,77.229831,122.72,-22.69,3.69,22.67,FIXED_RTK
